domain,label,family,observed_at
india.gov.in,0,benign,2025-01-02T07:04:57
mygov.in,0,benign,2025-01-01T14:28:44
uidai.gov.in,0,benign,2025-01-03T14:28:43
incometax.gov.in,0,benign,2025-01-01T06:57:09
irctc.co.in,0,benign,2025-01-03T03:26:08
digitalindia.gov.in,0,benign,2025-01-02T11:06:00
isro.gov.in,0,benign,2025-01-01T05:34:00
rbi.org.in,0,benign,2025-01-03T00:42:19
sbi.co.in,0,benign,2025-01-01T03:35:56
nic.in,0,benign,2025-01-02T17:37:21
epfindia.gov.in,0,benign,2025-01-01T06:42:17
passportindia.gov.in,0,benign,2025-01-01T08:42:24
meity.gov.in,0,benign,2025-01-02T16:44:48
cert-in.org.in,0,benign,2025-01-04T07:21:50
aadhaar.gov.in,0,benign,2025-01-01T11:52:58
gst.gov.in,0,benign,2025-01-01T21:25:37
pmindia.gov.in,0,benign,2025-01-03T12:13:23
digilocker.gov.in,0,benign,2025-01-04T18:57:51
ncog.gov.in,0,benign,2025-01-03T07:23:32
cbse.gov.in,0,benign,2025-01-02T14:04:28
iitb.ac.in,0,benign,2025-01-04T21:42:15
iitd.ac.in,0,benign,2025-01-01T04:28:16
iisc.ac.in,0,benign,2025-01-04T10:23:55
flipkart.com,0,benign,2025-01-02T03:47:51
myntra.com,0,benign,2025-01-01T13:50:45
paytm.com,0,benign,2025-01-01T11:18:21
phonepe.com,0,benign,2025-01-02T05:36:32
amazon-help.co.in,0,benign,2025-01-04T06:20:04
amazon-secure.net,0,benign,2025-01-01T17:20:48
amazon-support.com,0,benign,2025-01-03T07:49:26
amazon-team.in,0,benign,2025-01-03T13:19:30
app-flipkart.in,0,benign,2025-01-02T11:44:38
app-icloud.in,0,benign,2025-01-03T04:34:27
app-microsoft.com,0,benign,2025-01-01T06:01:36
app-myntra.net,0,benign,2025-01-01T05:43:14
app-sbi.com,0,benign,2025-01-01T19:46:06
app-uidai.org,0,benign,2025-01-03T17:18:25
apple-help.com,0,benign,2025-01-02T17:02:30
apple-india.net,0,benign,2025-01-02T06:09:10
apple-secure.in,0,benign,2025-01-03T08:12:15
apple-support.net,0,benign,2025-01-02T19:29:53
axisbank-care.com,0,benign,2025-01-02T04:46:21
axisbank-help.co.in,0,benign,2025-01-04T04:14:49
axisbank-india.in,0,benign,2025-01-03T19:05:30
axisbank-login.in,0,benign,2025-01-01T23:25:45
care-axisbank.com,0,benign,2025-01-03T07:08:06
care-epfo.com,0,benign,2025-01-03T02:24:36
care-github.in,0,benign,2025-01-04T11:59:55
care-google.com,0,benign,2025-01-03T22:00:52
care-hdfc.org,0,benign,2025-01-02T03:38:14
care-icici.org,0,benign,2025-01-04T22:04:49
care-linkedin.org,0,benign,2025-01-01T11:19:56
care-microsoft.com,0,benign,2025-01-02T16:07:58
care-netflix.net,0,benign,2025-01-04T00:40:22
care-paytm.com,0,benign,2025-01-01T14:35:16
dropbox-login.com,0,benign,2025-01-02T22:55:56
dropbox-my.net,0,benign,2025-01-01T03:45:47
dropbox-official.co.in,0,benign,2025-01-03T16:08:15
dropbox-team.org,0,benign,2025-01-04T01:23:09
epfo-care.com,0,benign,2025-01-03T07:00:03
epfo-help.com,0,benign,2025-01-04T12:01:52
epfo-my.in,0,benign,2025-01-02T06:06:52
epfo-secure.org,0,benign,2025-01-03T18:44:12
facebook-help.in,0,benign,2025-01-03T09:02:58
facebook-login.net,0,benign,2025-01-03T07:39:36
facebook-official.com,0,benign,2025-01-02T19:47:17
facebook-secure.co.in,0,benign,2025-01-04T08:37:22
flipkart-app.in,0,benign,2025-01-04T18:40:25
flipkart-india.org,0,benign,2025-01-02T21:30:19
flipkart-my.org,0,benign,2025-01-03T15:44:51
flipkart-secure.com,0,benign,2025-01-01T05:49:23
github-care.in,0,benign,2025-01-03T19:19:53
github-login.com,0,benign,2025-01-03T14:06:48
github-my.in,0,benign,2025-01-04T23:19:14
github-team.in,0,benign,2025-01-04T06:53:27
google-care.com,0,benign,2025-01-02T03:18:59
google-login.com,0,benign,2025-01-02T13:01:46
google-secure.net,0,benign,2025-01-03T16:10:46
google-team.com,0,benign,2025-01-01T02:09:56
hdfc-care.org,0,benign,2025-01-02T20:18:54
hdfc-help.net,0,benign,2025-01-01T16:07:47
hdfc-login.net,0,benign,2025-01-01T11:14:21
hdfc-support.co.in,0,benign,2025-01-01T05:39:31
