StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label,Scenario
2011-08-10 09:46:53.047277,3550.182373,udp,212.50.71.179,39678,  <->,147.32.84.229,13363,CON,0.0,0.0,12,875,413,flow=Background-UDP-Established,Scenario-1
2011-08-10 09:46:53.048843,0.000883,udp,84.13.246.132,28431,  <->,147.32.84.229,13363,CON,0.0,0.0,2,135,75,flow=Background-UDP-Established,Scenario-1
2011-08-10 09:46:53.049895,0.000326,tcp,217.163.21.35,80,  <?>,147.32.86.194,2063,FA_A,0.0,0.0,2,120,60,flow=Background,Scenario-1
2011-08-10 09:46:53.053771,0.056966,tcp,83.3.77.74,32882,  <?>,147.32.85.5,21857,FA_FA,0.0,0.0,3,180,120,flow=Background,Scenario-1
2011-08-10 09:46:53.053937,3427.768066,udp,74.89.223.204,21278,  <->,147.32.84.229,13363,CON,0.0,0.0,42,2856,1596,flow=Background-UDP-Established,Scenario-1
2011-08-10 09:46:53.056921,3086.547363,tcp,66.169.184.207,49372,  <?>,147.32.84.229,13363,PA_PA,0.0,0.0,591,45931,26480,flow=Background,Scenario-1
2011-08-10 09:46:53.058746,3589.631348,udp,182.239.167.121,49649,  <->,147.32.84.229,13363,CON,0.0,0.0,12,1494,1122,flow=Background-UDP-Established,Scenario-1
2011-08-10 09:46:53.058760,20.360268,tcp,147.32.3.93,443,  <?>,147.32.84.59,51790,FPA_FRPA,0.0,0.0,133,81929,67597,flow=Background-Established-cmpgw-CVUT,Scenario-1
2011-08-10 09:46:53.062095,3118.470947,udp,24.117.206.20,8697,  <->,147.32.84.229,13363,CON,0.0,0.0,13,4328,840,flow=Background-UDP-Established,Scenario-1
2011-08-10 09:46:53.068389,1065.003052,tcp,94.208.78.74,50687,  <?>,147.32.84.229,13363,FPA_RPA,0.0,0.0,156,14804,7699,flow=Background,Scenario-1
2011-08-10 09:46:53.074655,2.210671,udp,79.129.201.26,56877,  <->,147.32.84.229,13363,CON,0.0,0.0,4,379,137,flow=Background-UDP-Established,Scenario-1
2011-08-10 09:46:53.075905,0.187434,tcp,147.32.86.194,2065,   ->,217.163.21.35,80,FSPA_FSPA,0.0,0.0,11,3872,1147,flow=Background-TCP-Established,Scenario-1
2011-08-10 09:46:53.078297,3599.972412,tcp,147.32.80.13,80,  <?>,147.32.84.162,51769,PA_A,0.0,0.0,72157,61638544,60214264,flow=From-Background-CVUT-Proxy,Scenario-1
2011-08-10 09:46:53.082381,0.000307,tcp,74.200.246.228,80,  <?>,147.32.84.59,49382,FA_RA,0.0,0.0,3,180,60,flow=Background-Established-cmpgw-CVUT,Scenario-1
2011-08-10 09:46:53.087248,0.000258,tcp,77.238.167.32,80,  <?>,147.32.86.194,2060,FA_A,0.0,0.0,2,120,60,flow=Background,Scenario-1
2011-08-10 09:46:53.093292,37.925823,tcp,94.124.104.196,80,  <?>,147.32.84.59,49500,PA_FRA,0.0,0.0,1921,2636496,2625276,flow=Background-Established-cmpgw-CVUT,Scenario-1
2011-08-10 09:46:53.098713,0.312088,tcp,98.127.111.126,51534,  <?>,147.32.84.229,13363,FRPA_FPA,0.0,0.0,10,750,407,flow=Background,Scenario-1
2011-08-10 09:46:53.100496,2407.466797,udp,123.1.72.4,16562,  <->,147.32.84.229,13363,CON,0.0,0.0,4,268,148,flow=Background-UDP-Established,Scenario-1
2011-08-10 09:46:53.104932,3495.29541,tcp,147.32.84.229,443,  <?>,212.217.56.83,58258,PA_PA,0.0,0.0,287,24672,10309,flow=Background,Scenario-1
2011-08-10 09:46:53.104948,3591.918945,tcp,147.32.84.229,443,  <?>,213.142.200.29,10004,PA_PA,0.0,0.0,4360,339588,125248,flow=Background,Scenario-1
2011-08-10 09:46:53.104954,3514.610352,tcp,147.32.84.229,13363,  <?>,93.45.94.195,44977,PA_PA,0.0,0.0,310,52117,9301,flow=Background,Scenario-1
2011-08-10 09:46:53.104959,3599.977539,tcp,147.32.84.229,13363,  <?>,83.78.136.90,52573,PA_PA,0.0,0.0,164,12065,5378,flow=Background,Scenario-1
2011-08-10 09:46:53.106431,507.347626,tcp,147.32.80.13,80,  <?>,147.32.85.112,10885,FPA_FA,0.0,0.0,162760,137136528,132816366,flow=From-Background-CVUT-Proxy,Scenario-1
2011-08-10 09:46:53.107352,0.001105,udp,217.164.10.229,7797,  <->,147.32.84.229,13363,CON,0.0,0.0,2,582,77,flow=Background-UDP-Established,Scenario-1
2011-08-10 09:46:53.107669,0.0,tcp,199.59.148.20,443,   ?>,147.32.84.184,51855,A_,0.0,,1,60,60,flow=Background,Scenario-1
2011-08-10 09:46:53.112416,1288.713379,udp,77.100.246.74,6430,  <->,147.32.84.229,13363,CON,0.0,0.0,18,1244,704,flow=Background-UDP-Established,Scenario-1
2011-08-10 09:46:53.118569,2292.730469,udp,58.72.174.152,1769,  <->,147.32.84.229,13363,CON,0.0,0.0,16,3828,548,flow=Background-UDP-Established,Scenario-1
2011-08-10 09:46:53.120880,273.880157,tcp,83.137.254.245,49455,  <?>,147.32.84.229,13363,PA_PA,0.0,0.0,121,14096,10430,flow=Background,Scenario-1
2011-08-10 09:46:53.125002,3572.482422,tcp,147.32.84.59,49238,  <?>,74.125.232.215,443,PA_PA,0.0,0.0,1332,627474,282534,flow=Background-Established-cmpgw-CVUT,Scenario-1
2011-08-10 09:46:53.127875,0.000368,udp,147.32.84.138,42315,  <->,147.32.80.9,53,CON,0.0,0.0,2,214,81,flow=To-Background-UDP-CVUT-DNS-Server,Scenario-1
2011-08-10 09:46:53.128036,0.000225,udp,147.32.84.138,42626,  <->,147.32.80.9,53,CON,0.0,0.0,2,214,81,flow=To-Background-UDP-CVUT-DNS-Server,Scenario-1
2011-08-10 09:46:53.131650,3133.970947,udp,186.204.215.229,12677,  <->,147.32.84.229,13363,CON,0.0,0.0,10,1218,908,flow=Background-UDP-Established,Scenario-1
2011-08-10 09:46:53.132734,619.352722,udp,147.32.84.229,13363,   ->,31.9.113.254,23320,INT,0.0,,4,568,568,flow=Background-UDP-Attempt,Scenario-1
2011-08-10 09:46:53.136258,0.000227,udp,147.32.84.138,58276,  <->,147.32.80.9,53,CON,0.0,0.0,2,214,81,flow=To-Background-UDP-CVUT-DNS-Server,Scenario-1
2011-08-10 09:46:53.136265,0.000272,udp,147.32.84.138,58867,  <->,147.32.80.9,53,CON,0.0,0.0,2,214,81,flow=To-Background-UDP-CVUT-DNS-Server,Scenario-1
2011-08-10 09:46:53.137179,536.390381,tcp,109.183.212.236,61775,  <?>,147.32.84.130,20,FPA_FA,0.0,0.0,23574,10855048,10056796,flow=Background,Scenario-1
2011-08-10 09:46:53.138034,12.067851,tcp,178.236.4.29,80,   ?>,147.32.86.141,2019,FA_,0.0,,3,180,180,flow=Background,Scenario-1
2011-08-10 09:46:53.140460,3144.869629,udp,212.59.9.106,15036,  <->,147.32.84.229,13363,CON,0.0,0.0,4,266,146,flow=Background-UDP-Established,Scenario-1
2011-08-10 09:46:53.144083,0.000162,udp,147.32.84.138,33302,  <->,147.32.80.9,53,CON,0.0,0.0,2,214,81,flow=To-Background-UDP-CVUT-DNS-Server,Scenario-1
2011-08-10 09:46:53.144097,0.000163,udp,147.32.84.138,59866,  <->,147.32.80.9,53,CON,0.0,0.0,2,214,81,flow=To-Background-UDP-CVUT-DNS-Server,Scenario-1
2011-08-10 09:46:53.146587,1.553285,udp,147.32.86.111,58314,  <->,147.32.1.20,53,CON,0.0,0.0,2,336,73,flow=To-Background-UDP-CVUT-DNS-Server,Scenario-1
2011-08-10 09:46:53.149054,0.00029,udp,147.32.84.138,39703,  <->,147.32.80.9,53,CON,0.0,0.0,2,214,81,flow=To-Background-UDP-CVUT-DNS-Server,Scenario-1
2011-08-10 09:46:53.149061,0.000289,udp,147.32.84.138,36312,  <->,147.32.80.9,53,CON,0.0,0.0,2,214,81,flow=To-Background-UDP-CVUT-DNS-Server,Scenario-1
