StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label
2011/08/18 09:56:29.146156,2752.656250,udp,71.222.124.71,60621,  <->,147.32.84.59,63550,CON,0,0,3,435,290,flow=Background-Established-cmpgw-CVUT
2011/08/18 09:56:42.630892,1849.315552,udp,78.234.54.245,51413,  <->,147.32.84.59,63550,CON,0,0,3,417,272,flow=Background-Established-cmpgw-CVUT
2011/08/18 09:56:44.640650,2091.747314,udp,31.147.120.139,63195,  <->,147.32.84.59,63550,CON,0,0,2,290,145,flow=Background-Established-cmpgw-CVUT
2011/08/18 10:10:52.782230,1535.769409,udp,118.5.35.64,39110,  <->,147.32.84.59,63550,CON,0,0,2,290,145,flow=Background-Established-cmpgw-CVUT
2011/08/18 10:19:13.328372,0.002636,tcp,147.32.86.166,33426,  <?>,212.24.150.110,25443,FRPA_FPA,0,0,6,490,321,flow=Background
2011/08/18 10:19:13.328670,72.436790,udp,82.39.2.249,41915,  <->,147.32.84.59,43087,CON,0,0,23849,24298138,509912,flow=Background-Established-cmpgw-CVUT
2011/08/18 10:19:13.330765,3599.473633,tcp,147.32.86.166,42020,  <?>,147.32.192.34,993,PA_PA,0,0,543,98018,33640,flow=Background
2011/08/18 10:19:13.333772,28.152548,tcp,115.184.37.24,49190,  <?>,147.32.84.2,80,A_FPA,0,0,222,191281,6610,flow=Background
2011/08/18 10:19:13.335316,632.001648,tcp,80.78.79.156,51287,  <?>,147.32.86.24,31002,FPA_FPA,0,0,15347,2542390,2237911,flow=Background
2011/08/18 10:19:13.335512,628.915222,udp,147.32.86.24,31002,  <->,151.41.188.39,49621,CON,0,0,9464,2024974,2022958,flow=Background-UDP-Established
2011/08/18 10:19:13.336134,0.000177,udp,82.73.244.56,39051,   ->,147.32.84.118,1153,INT,0,,1,145,145,flow=Background-UDP-Attempt
2011/08/18 10:19:13.336311,0.000000,icmp,147.32.84.118,0x0303,   ->,82.73.244.56,0x8104,URP,0,,1,173,173,flow=Background
2011/08/18 10:19:13.337361,1315.114136,tcp,188.95.61.42,53389,  <?>,147.32.86.110,48190,RPA_FPA,0,0,59405,24973123,21487780,flow=Background
2011/08/18 10:19:13.341725,450.406830,tcp,192.221.106.126,80,  <?>,147.32.84.59,2774,FPA_FA,0,0,85347,97405130,96357830,flow=Background-Established-cmpgw-CVUT
2011/08/18 10:19:13.344200,123.438812,tcp,212.111.2.151,8000,  <?>,147.32.86.135,3978,PA_FRA,0,0,4238,4189542,4104702,flow=Background
2011/08/18 10:19:13.346166,0.069355,tcp,147.32.84.59,2828,   ->,95.172.94.54,80,FPA_FSPA,0,0,7,1202,739,flow=Background-Established-cmpgw-CVUT
2011/08/18 10:19:13.346851,118.675606,udp,114.78.14.160,31011,  <->,147.32.84.59,43087,CON,0,0,4788,5009469,97163,flow=Background-Established-cmpgw-CVUT
2011/08/18 10:19:13.347798,3599.978271,tcp,147.32.80.13,80,  <?>,147.32.85.88,56949,PA_A,0,0,100926,64254705,61869003,flow=From-Background-CVUT-Proxy
2011/08/18 10:19:13.350742,3599.985596,tcp,147.32.86.166,48761,  <?>,195.250.146.100,8000,A_PA,0,0,112824,93703863,3076176,flow=Background
2011/08/18 10:19:13.351206,2421.037842,udp,115.108.130.214,54176,  <->,147.32.84.229,13363,CON,0,0,11,1451,1091,flow=Background-UDP-Established
2011/08/18 10:19:13.351961,1744.221436,tcp,147.32.84.229,13363,  <?>,122.176.204.167,16041,PA_PA,0,0,67,6821,3427,flow=Background
2011/08/18 10:19:13.352452,14.428501,tcp,82.209.194.12,2042,  <?>,147.32.86.165,12114,FRPA_FPA,0,0,14,1057,511,flow=Background
2011/08/18 10:19:13.354286,3599.793945,tcp,147.32.82.101,57919,  <?>,147.32.86.88,3389,PA_PA,0,0,34879,13467541,1416006,flow=Background
2011/08/18 10:19:13.361972,21.460415,tcp,194.108.204.22,48747,  <?>,147.32.84.138,8080,FPA_FPA,0,0,90,32715,20660,flow=Background
2011/08/18 10:19:13.362269,3598.805908,tcp,147.32.85.74,1423,  <?>,147.32.203.229,2971,PA_PA,0,0,3782,469536,290414,flow=Background
2011/08/18 10:19:13.365014,106.195999,tcp,147.32.85.56,44076,  <?>,193.87.80.3,51019,FPA_FPA,0,0,14,864,564,flow=Background
2011/08/18 10:19:13.373032,21.514496,tcp,147.32.86.24,31002,  <?>,95.227.158.77,60330,FPA_FPA,0,0,10,613,308,flow=Background
2011/08/18 10:19:13.375237,1.096655,tcp,147.32.84.118,2956,   ->,84.222.204.28,6881,S_RA,0,0,6,366,186,flow=Background-TCP-Attempt
2011/08/18 10:19:13.383624,65.373001,tcp,147.32.86.53,40099,   ->,67.218.100.83,80,FPA_FSPA,0,0,9,1817,1121,flow=Background-TCP-Established
2011/08/18 10:19:13.385576,95.640236,udp,24.4.101.240,19472,  <->,147.32.84.59,43087,CON,0,0,5060,5071427,111885,flow=Background-Established-cmpgw-CVUT
2011/08/18 10:19:13.386068,3520.204346,tcp,147.32.84.229,13363,  <?>,147.213.68.141,1040,PA_PA,0,0,348,41262,10138,flow=Background
2011/08/18 10:19:13.386076,3599.849609,tcp,147.32.84.229,3792,  <?>,147.32.89.184,58898,PA_PA,0,0,315,53237,45013,flow=Background
2011/08/18 10:19:13.386082,0.000718,udp,86.161.84.198,31480,  <->,147.32.84.229,13363,CON,0,0,2,135,75,flow=Background-UDP-Established
2011/08/18 10:19:13.389845,473.464691,udp,213.155.227.215,35316,  <->,147.32.84.229,13363,CON,0,0,6,769,551,flow=Background-UDP-Established
2011/08/18 10:19:13.391397,3516.261475,tcp,147.32.84.229,443,  <?>,151.45.215.195,1059,PA_PA,0,0,185,16318,6268,flow=Background
2011/08/18 10:19:13.391534,3589.104492,tcp,147.32.84.229,13363,  <?>,213.155.227.215,59277,PA_PA,0,0,1338,120881,70318,flow=Background
2011/08/18 10:19:13.392452,3456.004150,udp,147.32.84.59,56328,  <->,192.134.164.161,443,CON,0,0,28765,7242507,3890492,flow=Background-Established-cmpgw-CVUT
2011/08/18 10:19:13.392552,3254.928711,udp,192.166.145.21,1708,  <->,147.32.84.229,13363,CON,0,0,338,35972,21050,flow=Background-UDP-Established
2011/08/18 10:19:13.392560,68.453384,tcp,74.125.232.214,443,  <?>,147.32.86.110,48102,FPA_FPA,0,0,14,1260,705,flow=Background
2011/08/18 10:19:13.393243,633.004517,tcp,151.41.188.39,49615,  <?>,147.32.86.24,31002,FPA_FPA,0,0,1231,107062,36468,flow=Background
2011/08/18 10:19:13.393413,3580.024414,tcp,147.32.84.229,13363,  <?>,192.166.145.6,49198,PA_PA,0,0,1616,154868,60821,flow=Background
2011/08/18 10:19:13.402858,105.835144,tcp,85.237.224.48,32016,  <?>,147.32.85.56,44076,FPA_FPA,0,0,15,924,360,flow=Background
2011/08/18 10:19:13.408170,127.346886,tcp,89.135.152.106,48071,  <?>,147.32.87.220,1126,FPA_FPA,0,0,29,2006,1178,flow=Background
2011/08/18 10:19:13.426859,203.262177,tcp,211.101.37.103,52424,  <?>,147.32.84.2,80,RA_FPA,0,0,12364,11442622,294376,flow=Background
2011/08/18 10:19:13.428560,649.812805,tcp,147.32.84.59,2492,  <?>,195.72.134.115,80,PA_RPA,0,0,297,149795,42400,flow=Background-Established-cmpgw-CVUT
2011/08/18 10:19:13.429646,0.093071,udp,81.81.67.46,24210,  <->,147.32.84.229,13363,CON,0,0,4,261,141,flow=Background-UDP-Established
2011/08/18 10:19:13.434552,3599.821533,tcp,147.32.86.223,36085,  <?>,195.130.82.45,443,PA_PA,0,0,1451,137439,76457,flow=Background
2011/08/18 10:19:13.434561,3595.716553,tcp,147.32.84.59,49320,  <?>,62.44.1.24,80,PA_PA,0,0,2183,672685,485290,flow=Background-Established-cmpgw-CVUT
2011/08/18 10:19:13.443035,0.000691,udp,116.50.166.74,58467,  <->,147.32.84.229,13363,CON,0,0,2,556,76,flow=Background-UDP-Established
2011/08/18 10:19:13.443802,3073.394531,udp,147.32.84.229,13363,   ->,46.5.184.57,36165,INT,0,,16,2480,2480,flow=Background-UDP-Attempt
2011/08/18 10:19:13.454017,79.041153,tcp,217.150.190.17,31447,  <?>,147.32.86.24,443,FPA_FPA,0,0,18,1228,606,flow=Background
2011/08/18 10:19:13.458998,530.580872,tcp,74.125.108.208,80,  <?>,147.32.84.59,2768,PA_FRA,0,0,63261,77044150,76280890,flow=Background-Established-cmpgw-CVUT
2011/08/18 10:19:13.486891,189.427841,tcp,147.32.84.59,56058,  <?>,74.125.232.215,443,FPA_FPA,0,0,21,1653,681,flow=Background-Established-cmpgw-CVUT
2011/08/18 10:19:13.491282,169.114853,tcp,41.130.235.95,55043,  <?>,147.32.84.229,13363,FRPAC_FPA,0,0,78,18100,11028,flow=Background
2011/08/18 10:19:13.495421,206.499039,tcp,147.32.84.229,13363,  <?>,212.239.26.199,51572,PA_PA,0,0,23,1791,894,flow=Background
2011/08/18 10:19:13.518207,91.446686,udp,58.182.2.6,16289,  <->,147.32.84.59,43087,CON,0,0,1184,1185024,27416,flow=Background-Established-cmpgw-CVUT
2011/08/18 10:19:13.520859,0.000252,udp,147.32.87.30,38973,  <->,147.32.80.9,53,CON,0,0,2,206,78,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/18 10:19:13.526585,0.000227,tcp,46.158.48.2,50444,   ->,147.32.84.118,6881,S_RA,0,0,2,122,62,flow=Background-TCP-Attempt
2011/08/18 10:19:13.528872,3572.729980,pim,147.32.87.1,,   ->,224.0.0.13,,INT,192,,182,13584,13584,flow=Background
2011/08/18 10:19:13.533224,325.732910,udp,147.32.84.94,7103,  <->,178.200.203.145,7300,CON,0,3,6985,6781938,6720942,flow=Background-UDP-Established
2011/08/18 10:19:13.533402,552.359131,udp,147.32.84.94,7103,  <->,81.57.190.106,6911,CON,0,0,2199,2137296,2118186,flow=Background-UDP-Established
2011/08/18 10:19:13.552512,3585.540039,tcp,77.127.196.107,1126,  <?>,147.32.84.229,443,PA_PA,0,0,871,79259,42592,flow=Background
2011/08/18 10:19:13.564357,3591.996826,tcp,147.32.84.73,22,   ?>,113.161.71.62,38217,A_,0,,49,2940,2940,flow=Background
2011/08/18 10:19:13.572514,0.000678,udp,115.173.243.205,53827,  <->,147.32.84.229,13363,CON,0,0,2,140,80,flow=Background-UDP-Established
2011/08/18 10:19:13.591812,77.917686,tcp,147.32.86.24,31002,  <?>,194.161.219.176,51003,FPA_FPA,0,0,15,910,550,flow=Background
2011/08/18 10:19:13.601358,0.000000,tcp,147.32.84.118,2952,   ->,31.162.200.244,6881,S_,0,,1,62,62,flow=Background-TCP-Attempt
2011/08/18 10:19:13.603263,1336.024048,udp,174.98.117.98,57224,  <->,147.32.84.229,13363,CON,0,0,4,492,368,flow=Background-UDP-Established
2011/08/18 10:19:13.603928,0.000000,udp,147.32.84.229,13363,   ->,77.126.195.83,23065,INT,0,,1,79,79,flow=Background-UDP-Attempt
2011/08/18 10:19:13.605085,3599.970947,tcp,85.207.55.78,1054,  <?>,147.32.84.229,13363,PA_PA,0,0,199,17888,10630,flow=Background
