domain,label,family,observed_at
fromhisthe.net,1,suppobox,2025-01-04T03:06:00
oqfobwz.net,1,conficker,2025-01-03T13:50:00
i2c30s8.biz,1,cryptolocker,2025-01-01T22:54:00
ug7mr22.info,1,cryptolocker,2025-01-01T07:26:00
host4904.kogiu.com,0,benign,2025-01-04T09:44:00
host4431.yzdog.com,0,benign,2025-01-04T01:51:00
office.com,0,benign,2025-01-01T23:29:00
wclp0al.biz,1,cryptolocker,2025-01-02T07:09:00
m7t0hw7.info,1,cryptolocker,2025-01-02T05:11:00
zvaac5c.ru,1,cryptolocker,2025-01-03T14:47:00
host2018.uqgin.com,0,benign,2025-01-02T09:38:00
host671.oivvb.com,0,benign,2025-01-01T11:11:00
lhewu.net,1,conficker,2025-01-03T15:46:00
vpe3e43.info,1,cryptolocker,2025-01-01T01:57:00
host3967.tpoyw.com,0,benign,2025-01-03T18:07:00
zoksr.net,1,conficker,2025-01-02T01:32:00
host3818.mfgxg.com,0,benign,2025-01-03T15:38:00
j2oh4ja.biz,1,cryptolocker,2025-01-02T07:28:00
host4433.cngqz.com,0,benign,2025-01-04T01:53:00
slack.com,0,benign,2025-01-01T09:41:00
andthathave.net,1,suppobox,2025-01-01T12:30:00
rockfire.org,1,matsnu,2025-01-02T08:00:00
anplad2.biz,1,cryptolocker,2025-01-01T07:17:00
host4782.stynj.com,0,benign,2025-01-04T07:42:00
host4410.oidkq.com,0,benign,2025-01-04T01:30:00
host462.dbrih.com,0,benign,2025-01-01T07:42:00
linkedin.com,0,benign,2025-01-03T11:05:00
qul6plo.info,1,cryptolocker,2025-01-01T23:22:00
havewithfrom.net,1,suppobox,2025-01-03T09:40:00
tqrsnxuvnygg.com,1,kraken,2025-01-01T21:57:00
host2323.euaal.com,0,benign,2025-01-02T14:43:00
host353.hvgvl.com,0,benign,2025-01-01T05:53:00
amazon.com,0,benign,2025-01-02T22:33:00
host3086.utzes.com,0,benign,2025-01-03T03:26:00
lunsowlwrctk.com,1,kraken,2025-01-02T19:33:00
badszt.net,1,conficker,2025-01-01T19:17:00
wgcecg.net,1,conficker,2025-01-03T15:02:00
grapeelder.org,1,matsnu,2025-01-04T03:34:00
oblkmpso.net,1,conficker,2025-01-03T17:30:00
cherryfig.org,1,matsnu,2025-01-04T00:09:00
host2702.bbsqt.com,0,benign,2025-01-02T21:02:00
host2502.frznv.com,0,benign,2025-01-02T17:42:00
x27ev0ygz4.net,1,generic,2025-01-02T08:28:00
cmckset72ewqj7ly.info,1,generic,2025-01-03T13:55:00
ixa6507cc2k.info,1,generic,2025-01-03T23:24:00
zumtkk.net,1,conficker,2025-01-02T17:20:00
host3053.aiwtn.com,0,benign,2025-01-03T02:53:00
host2861.uqnev.com,0,benign,2025-01-02T23:41:00
havetheand.net,1,suppobox,2025-01-01T18:25:00
salesforce.com,0,benign,2025-01-03T14:30:00
yjj0i1texekp268yqe.ru,1,generic,2025-01-01T07:15:00
host3040.prtwb.com,0,benign,2025-01-03T02:40:00
bz8xfj0hpx.cn,1,generic,2025-01-03T16:33:00
butbutnot.net,1,suppobox,2025-01-02T01:19:00
tmevwsjzgjqo.com,1,kraken,2025-01-02T16:10:00
0vjfnes6.org,1,generic,2025-01-01T11:40:00
o8q8vk9.info,1,cryptolocker,2025-01-01T11:21:00
rpcnk.net,1,conficker,2025-01-03T20:29:00
grapebanana.org,1,matsnu,2025-01-01T14:44:00
host2441.rguht.com,0,benign,2025-01-02T16:41:00
0yfjxzc.biz,1,cryptolocker,2025-01-03T18:02:00
figfig.org,1,matsnu,2025-01-04T01:43:00
ea6eg36i91yzeiebtf.cn,1,generic,2025-01-03T00:36:00
host589.awoog.com,0,benign,2025-01-01T09:49:00
thatthethis.net,1,suppobox,2025-01-03T14:29:00
hisbutthey.net,1,suppobox,2025-01-03T18:08:00
zfsocutm.net,1,conficker,2025-01-02T08:53:00
host3595.sdrrl.com,0,benign,2025-01-03T11:55:00
fjhdvre.net,1,conficker,2025-01-02T07:37:00
zoom.us,0,benign,2025-01-02T11:22:00
cloudflare.com,0,benign,2025-01-01T18:13:00
txazhlflxtwh.com,1,kraken,2025-01-03T18:10:00
pfsnfg.net,1,conficker,2025-01-01T15:50:00
host1923.nqabf.com,0,benign,2025-01-02T08:03:00
theyfromhis.net,1,suppobox,2025-01-01T17:38:00
github.com,0,benign,2025-01-04T04:08:00
0r9me49.biz,1,cryptolocker,2025-01-03T14:39:00
nc9rvb9.info,1,cryptolocker,2025-01-04T03:25:00
azure.com,0,benign,2025-01-02T03:03:00
hxqawbmnkfpl.com,1,kraken,2025-01-03T10:44:00
host350.zleyx.com,0,benign,2025-01-01T05:50:00
host582.bsedg.com,0,benign,2025-01-01T09:42:00
lnitky.net,1,conficker,2025-01-03T14:32:00
9a50kpl.info,1,cryptolocker,2025-01-03T13:28:00
host1820.ouoau.com,0,benign,2025-01-02T06:20:00
waterfire.org,1,matsnu,2025-01-03T05:34:00
flhkcfzegagi.com,1,kraken,2025-01-01T06:29:00
thehaveyou.net,1,suppobox,2025-01-03T00:17:00
host1012.dicmx.com,0,benign,2025-01-01T16:52:00
host2909.djwyg.com,0,benign,2025-01-03T00:29:00
ryhs0ev63l.biz,1,generic,2025-01-03T08:17:00
host3801.sunus.com,0,benign,2025-01-03T15:21:00
ldgcsqdg.net,1,conficker,2025-01-02T07:06:00
appleelder.org,1,matsnu,2025-01-02T20:06:00
host3638.efnso.com,0,benign,2025-01-03T12:38:00
host3507.tabql.com,0,benign,2025-01-03T10:27:00
host4805.ridir.com,0,benign,2025-01-04T08:05:00
689d3ri.info,1,cryptolocker,2025-01-03T01:51:00
host1427.lcirk.com,0,benign,2025-01-01T23:47:00
host4396.bacxz.com,0,benign,2025-01-04T01:16:00
cloudflare.com,0,benign,2025-01-03T08:24:00
stonefire.org,1,matsnu,2025-01-03T08:22:00
host4666.arkto.com,0,benign,2025-01-04T05:46:00
host213.ultqn.com,0,benign,2025-01-01T03:33:00
withthethey.net,1,suppobox,2025-01-01T21:07:00
ls5ls29pwrzos45273g.info,1,generic,2025-01-02T21:37:00
firerock.org,1,matsnu,2025-01-02T01:07:00
host3977.eyohb.com,0,benign,2025-01-03T18:17:00
smzchiyp.net,1,conficker,2025-01-04T03:39:00
treerock.org,1,matsnu,2025-01-04T09:21:00
kcfjq.net,1,conficker,2025-01-01T20:43:00
seoewptkcxjl.com,1,kraken,2025-01-01T18:28:00
withbutwith.net,1,suppobox,2025-01-02T04:19:00
u2jr520e2kdpcck6.com,1,generic,2025-01-02T10:56:00
fromwithfor.net,1,suppobox,2025-01-02T08:34:00
host3592.njbix.com,0,benign,2025-01-03T11:52:00
host1287.bzadm.com,0,benign,2025-01-01T21:27:00
host2316.rwmbs.com,0,benign,2025-01-02T14:36:00
iwxesfwihcwf.com,1,kraken,2025-01-03T06:01:00
hisforhave.net,1,suppobox,2025-01-03T14:41:00
google.com,0,benign,2025-01-02T17:01:00
gnqigxm.net,1,conficker,2025-01-01T17:57:00
host3716.keyku.com,0,benign,2025-01-03T13:56:00
host1972.dhdzp.com,0,benign,2025-01-02T08:52:00
pikbtaqntfci.com,1,kraken,2025-01-03T23:43:00
4dmzr4z4weiznay.net,1,generic,2025-01-01T23:35:00
treerock.org,1,matsnu,2025-01-01T03:20:00
thistheyhave.net,1,suppobox,2025-01-03T12:43:00
slack.com,0,benign,2025-01-03T23:19:00
host2048.smfoc.com,0,benign,2025-01-02T10:08:00
vnehxxzhucwm.com,1,kraken,2025-01-04T02:24:00
figcherry.org,1,matsnu,2025-01-04T06:58:00
wzwhzkn.net,1,conficker,2025-01-02T18:39:00
linkedin.com,0,benign,2025-01-01T22:03:00
fromtheyfrom.net,1,suppobox,2025-01-02T04:50:00
jzydlzobihbt.com,1,kraken,2025-01-02T07:47:00
live.com,0,benign,2025-01-03T23:24:00
host199.fpprm.com,0,benign,2025-01-01T03:19:00
bkyddcnzoxiv.com,1,kraken,2025-01-02T18:50:00
ol5o7hy.info,1,cryptolocker,2025-01-03T21:46:00
host1261.wubin.com,0,benign,2025-01-01T21:01:00
krieucua.net,1,conficker,2025-01-02T02:40:00
host4989.yxcnm.com,0,benign,2025-01-04T11:09:00
host3380.vzaiw.com,0,benign,2025-01-03T08:20:00
0twxo9ha.cn,1,generic,2025-01-02T10:12:00
host257.fbfnm.com,0,benign,2025-01-01T04:17:00
dwtuxsbukxvc.com,1,kraken,2025-01-01T14:27:00
host664.btjxr.com,0,benign,2025-01-01T11:04:00
yahoo.com,0,benign,2025-01-01T12:12:00
host4744.rrdbt.com,0,benign,2025-01-04T07:04:00
tp8ztqfg0l5jny59.org,1,generic,2025-01-01T05:43:00
tv9i2z4zcxdc3wjok0.net,1,generic,2025-01-03T18:44:00
host742.fnixj.com,0,benign,2025-01-01T12:22:00
saruo.net,1,conficker,2025-01-01T04:30:00
host891.inoaj.com,0,benign,2025-01-01T14:51:00
host4411.xttmg.com,0,benign,2025-01-04T01:31:00
pmsbom.net,1,conficker,2025-01-01T23:00:00
bing.com,0,benign,2025-01-02T03:45:00
host3392.vqtrh.com,0,benign,2025-01-03T08:32:00
salesforce.com,0,benign,2025-01-02T02:06:00
host1539.aowxe.com,0,benign,2025-01-02T01:39:00
nfcjgpddyqrk.com,1,kraken,2025-01-01T11:52:00
mgtrwxv.net,1,conficker,2025-01-02T01:26:00
5uw7oz4.info,1,cryptolocker,2025-01-02T09:58:00
applerock.org,1,matsnu,2025-01-01T21:15:00
host4920.xeodc.com,0,benign,2025-01-04T10:00:00
rockcherry.org,1,matsnu,2025-01-02T16:17:00
host2905.mgasa.com,0,benign,2025-01-03T00:25:00
firebanana.org,1,matsnu,2025-01-02T08:23:00
0h5lwszjsx2xmnuv.com,1,generic,2025-01-01T02:28:00
host3602.slqxn.com,0,benign,2025-01-03T12:02:00
fj05gosqbq.org,1,generic,2025-01-01T05:31:00
host421.zduwk.com,0,benign,2025-01-01T07:01:00
host1650.wsnbo.com,0,benign,2025-01-02T03:30:00
treestone.org,1,matsnu,2025-01-01T21:32:00
bqgmc3n5mj72p.org,1,generic,2025-01-01T16:31:00
tjuypbipvndc.com,1,kraken,2025-01-04T05:12:00
0xeylei.info,1,cryptolocker,2025-01-01T06:24:00
bing.com,0,benign,2025-01-01T08:39:00
host642.whjns.com,0,benign,2025-01-01T10:42:00
stonefig.org,1,matsnu,2025-01-01T02:42:00
s0a7zm9y.ru,1,generic,2025-01-01T21:50:00
host1824.kqicd.com,0,benign,2025-01-02T06:24:00
tyb37m0d.net,1,generic,2025-01-02T19:43:00
host44.zlxoj.com,0,benign,2025-01-01T00:44:00
treewater.org,1,matsnu,2025-01-02T20:00:00
host509.hhdwg.com,0,benign,2025-01-01T08:29:00
iihemsdlijsp.com,1,kraken,2025-01-02T21:29:00
elderrock.org,1,matsnu,2025-01-02T07:08:00
cherrystone.org,1,matsnu,2025-01-01T16:19:00
thetheythat.net,1,suppobox,2025-01-03T07:48:00
host4648.uxjmr.com,0,benign,2025-01-04T05:28:00
google.com,0,benign,2025-01-01T06:07:00
havehisthe.net,1,suppobox,2025-01-03T13:31:00
uj98fcr.ru,1,cryptolocker,2025-01-02T15:55:00
host1639.qmhvj.com,0,benign,2025-01-02T03:19:00
host1062.mazad.com,0,benign,2025-01-01T17:42:00
facebook.com,0,benign,2025-01-04T10:24:00
netflix.com,0,benign,2025-01-04T04:01:00
microsoft.com,0,benign,2025-01-01T21:16:00
buttheyand.net,1,suppobox,2025-01-02T17:14:00
host2822.fsurf.com,0,benign,2025-01-02T23:02:00
host4309.eaert.com,0,benign,2025-01-03T23:49:00
host308.kijaz.com,0,benign,2025-01-01T05:08:00
host2176.erfrj.com,0,benign,2025-01-02T12:16:00
host4247.geldn.com,0,benign,2025-01-03T22:47:00
cherrystone.org,1,matsnu,2025-01-02T17:17:00
host4175.quoux.com,0,benign,2025-01-03T21:35:00
kgiijycyfcpk.com,1,kraken,2025-01-01T16:36:00
qiabiclk.net,1,conficker,2025-01-03T19:55:00
host2927.pjfee.com,0,benign,2025-01-03T00:47:00
0pvl3df.biz,1,cryptolocker,2025-01-03T17:07:00
host4699.hvyim.com,0,benign,2025-01-04T06:19:00
andforhis.net,1,suppobox,2025-01-02T15:36:00
host3815.pmdlh.com,0,benign,2025-01-03T15:35:00
host3055.pmczw.com,0,benign,2025-01-03T02:55:00
host4078.yqyhe.com,0,benign,2025-01-03T19:58:00
mgukudkc.net,1,conficker,2025-01-01T08:31:00
kiqxl.net,1,conficker,2025-01-02T02:08:00
host3410.uvqac.com,0,benign,2025-01-03T08:50:00
forthisyou.net,1,suppobox,2025-01-03T15:55:00
26ma9tv.info,1,cryptolocker,2025-01-03T02:54:00
host463.qbbsw.com,0,benign,2025-01-01T07:43:00
axwtcfvpewwo.com,1,kraken,2025-01-01T01:07:00
uvezdlchnvbj.com,1,kraken,2025-01-01T09:11:00
host2120.nxzkm.com,0,benign,2025-01-02T11:20:00
05f5jespqc5lyplxgt0c.com,1,generic,2025-01-02T20:30:00
host2508.fxwam.com,0,benign,2025-01-02T17:48:00
host4246.ozgih.com,0,benign,2025-01-03T22:46:00
dqldkoohexpw.com,1,kraken,2025-01-01T20:59:00
host3668.tirip.com,0,benign,2025-01-03T13:08:00
xdangj.net,1,conficker,2025-01-04T03:22:00
qwpzlcqmdlru.com,1,kraken,2025-01-03T15:59:00
host1967.ovsir.com,0,benign,2025-01-02T08:47:00
5zno01h.biz,1,cryptolocker,2025-01-03T07:32:00
host4762.zappk.com,0,benign,2025-01-04T07:22:00
jmgqnq6.biz,1,cryptolocker,2025-01-01T11:19:00
i3oo05qr0j5mj.org,1,generic,2025-01-04T08:43:00
host2349.ugozq.com,0,benign,2025-01-02T15:09:00
histhenot.net,1,suppobox,2025-01-01T05:21:00
host2788.exhid.com,0,benign,2025-01-02T22:28:00
salesforce.com,0,benign,2025-01-01T06:50:00
forfromhis.net,1,suppobox,2025-01-03T05:05:00
host4295.bxejw.com,0,benign,2025-01-03T23:35:00
host3976.pdyon.com,0,benign,2025-01-03T18:16:00
znfqciuqfsse.com,1,kraken,2025-01-02T20:47:00
oluxgdbiodtz.com,1,kraken,2025-01-01T11:25:00
fzqfbznrituo.com,1,kraken,2025-01-01T07:25:00
thatandhis.net,1,suppobox,2025-01-03T13:14:00
youtheand.net,1,suppobox,2025-01-01T13:27:00
59iqlbaq8.ru,1,generic,2025-01-02T18:21:00
office.com,0,benign,2025-01-01T10:39:00
host4630.ogsrz.com,0,benign,2025-01-04T05:10:00
withhisbut.net,1,suppobox,2025-01-01T07:38:00
host3022.dhxbv.com,0,benign,2025-01-03T02:22:00
host2319.tniqj.com,0,benign,2025-01-02T14:39:00
mv1ns2jfml71auunekos.ru,1,generic,2025-01-04T05:43:00
