domain,label,family,observed_at
fromhisthe.net,1,suppobox,2025-01-04T03:06:00
oqfobwz.net,1,conficker,2025-01-03T13:50:00
i2c30s8.biz,1,cryptolocker,2025-01-01T22:54:00
ug7mr22.info,1,cryptolocker,2025-01-01T07:26:00
host4904.kogiu.com,0,benign,2025-01-04T09:44:00
host4431.yzdog.com,0,benign,2025-01-04T01:51:00
office.com,0,benign,2025-01-01T23:29:00
wclp0al.biz,1,cryptolocker,2025-01-02T07:09:00
m7t0hw7.info,1,cryptolocker,2025-01-02T05:11:00
zvaac5c.ru,1,cryptolocker,2025-01-03T14:47:00
host2018.uqgin.com,0,benign,2025-01-02T09:38:00
host671.oivvb.com,0,benign,2025-01-01T11:11:00
lhewu.net,1,conficker,2025-01-03T15:46:00
vpe3e43.info,1,cryptolocker,2025-01-01T01:57:00
host3967.tpoyw.com,0,benign,2025-01-03T18:07:00
zoksr.net,1,conficker,2025-01-02T01:32:00
host3818.mfgxg.com,0,benign,2025-01-03T15:38:00
j2oh4ja.biz,1,cryptolocker,2025-01-02T07:28:00
host4433.cngqz.com,0,benign,2025-01-04T01:53:00
slack.com,0,benign,2025-01-01T09:41:00
andthathave.net,1,suppobox,2025-01-01T12:30:00
rockfire.org,1,matsnu,2025-01-02T08:00:00
anplad2.biz,1,cryptolocker,2025-01-01T07:17:00
host4782.stynj.com,0,benign,2025-01-04T07:42:00
host4410.oidkq.com,0,benign,2025-01-04T01:30:00
host462.dbrih.com,0,benign,2025-01-01T07:42:00
linkedin.com,0,benign,2025-01-03T11:05:00
qul6plo.info,1,cryptolocker,2025-01-01T23:22:00
havewithfrom.net,1,suppobox,2025-01-03T09:40:00
tqrsnxuvnygg.com,1,kraken,2025-01-01T21:57:00
host2323.euaal.com,0,benign,2025-01-02T14:43:00
host353.hvgvl.com,0,benign,2025-01-01T05:53:00
amazon.com,0,benign,2025-01-02T22:33:00
host3086.utzes.com,0,benign,2025-01-03T03:26:00
lunsowlwrctk.com,1,kraken,2025-01-02T19:33:00
badszt.net,1,conficker,2025-01-01T19:17:00
wgcecg.net,1,conficker,2025-01-03T15:02:00
grapeelder.org,1,matsnu,2025-01-04T03:34:00
oblkmpso.net,1,conficker,2025-01-03T17:30:00
cherryfig.org,1,matsnu,2025-01-04T00:09:00
host2702.bbsqt.com,0,benign,2025-01-02T21:02:00
host2502.frznv.com,0,benign,2025-01-02T17:42:00
x27ev0ygz4.net,1,generic,2025-01-02T08:28:00
cmckset72ewqj7ly.info,1,generic,2025-01-03T13:55:00
ixa6507cc2k.info,1,generic,2025-01-03T23:24:00
zumtkk.net,1,conficker,2025-01-02T17:20:00
host3053.aiwtn.com,0,benign,2025-01-03T02:53:00
host2861.uqnev.com,0,benign,2025-01-02T23:41:00
havetheand.net,1,suppobox,2025-01-01T18:25:00
salesforce.com,0,benign,2025-01-03T14:30:00
yjj0i1texekp268yqe.ru,1,generic,2025-01-01T07:15:00
host3040.prtwb.com,0,benign,2025-01-03T02:40:00
bz8xfj0hpx.cn,1,generic,2025-01-03T16:33:00
butbutnot.net,1,suppobox,2025-01-02T01:19:00
tmevwsjzgjqo.com,1,kraken,2025-01-02T16:10:00
0vjfnes6.org,1,generic,2025-01-01T11:40:00
o8q8vk9.info,1,cryptolocker,2025-01-01T11:21:00
rpcnk.net,1,conficker,2025-01-03T20:29:00
grapebanana.org,1,matsnu,2025-01-01T14:44:00
host2441.rguht.com,0,benign,2025-01-02T16:41:00
0yfjxzc.biz,1,cryptolocker,2025-01-03T18:02:00
figfig.org,1,matsnu,2025-01-04T01:43:00
ea6eg36i91yzeiebtf.cn,1,generic,2025-01-03T00:36:00
host589.awoog.com,0,benign,2025-01-01T09:49:00
thatthethis.net,1,suppobox,2025-01-03T14:29:00
hisbutthey.net,1,suppobox,2025-01-03T18:08:00
zfsocutm.net,1,conficker,2025-01-02T08:53:00
host3595.sdrrl.com,0,benign,2025-01-03T11:55:00
fjhdvre.net,1,conficker,2025-01-02T07:37:00
zoom.us,0,benign,2025-01-02T11:22:00
cloudflare.com,0,benign,2025-01-01T18:13:00
txazhlflxtwh.com,1,kraken,2025-01-03T18:10:00
pfsnfg.net,1,conficker,2025-01-01T15:50:00
host1923.nqabf.com,0,benign,2025-01-02T08:03:00
theyfromhis.net,1,suppobox,2025-01-01T17:38:00
github.com,0,benign,2025-01-04T04:08:00
0r9me49.biz,1,cryptolocker,2025-01-03T14:39:00
nc9rvb9.info,1,cryptolocker,2025-01-04T03:25:00
azure.com,0,benign,2025-01-02T03:03:00
hxqawbmnkfpl.com,1,kraken,2025-01-03T10:44:00
host350.zleyx.com,0,benign,2025-01-01T05:50:00
host582.bsedg.com,0,benign,2025-01-01T09:42:00
lnitky.net,1,conficker,2025-01-03T14:32:00
9a50kpl.info,1,cryptolocker,2025-01-03T13:28:00
host1820.ouoau.com,0,benign,2025-01-02T06:20:00
waterfire.org,1,matsnu,2025-01-03T05:34:00
flhkcfzegagi.com,1,kraken,2025-01-01T06:29:00
thehaveyou.net,1,suppobox,2025-01-03T00:17:00
host1012.dicmx.com,0,benign,2025-01-01T16:52:00
host2909.djwyg.com,0,benign,2025-01-03T00:29:00
ryhs0ev63l.biz,1,generic,2025-01-03T08:17:00
host3801.sunus.com,0,benign,2025-01-03T15:21:00
ldgcsqdg.net,1,conficker,2025-01-02T07:06:00
appleelder.org,1,matsnu,2025-01-02T20:06:00
host3638.efnso.com,0,benign,2025-01-03T12:38:00
host3507.tabql.com,0,benign,2025-01-03T10:27:00
host4805.ridir.com,0,benign,2025-01-04T08:05:00
689d3ri.info,1,cryptolocker,2025-01-03T01:51:00
host1427.lcirk.com,0,benign,2025-01-01T23:47:00
